user_id,avg_days_since_prior
1,19.0
2,16.285714285714285
3,12.0
4,17.0
5,11.5
6,13.333333333333334
7,10.45
8,23.333333333333332
9,22.0
10,21.8
11,18.714285714285715
12,26.0
13,7.666666666666667
14,21.23076923076923
15,10.636363636363637
16,19.333333333333332
17,8.0
18,5.833333333333333
19,9.333333333333334
20,11.25
21,10.454545454545455
22,12.733333333333333
23,18.5
24,14.666666666666666
25,30.0
26,12.166666666666666
27,4.432098765432099
28,11.541666666666666
29,11.61111111111111
30,21.625
31,5.55
32,22.2
33,25.333333333333332
34,22.0
35,21.333333333333332
36,9.54054054054054
37,13.521739130434783
38,21.75
39,11.285714285714286
40,12.444444444444445
41,26.6
42,13.875
43,11.818181818181818
44,30.0
45,15.75
46,17.36842105263158
47,9.6
48,20.9
49,24.875
50,5.432835820895522
51,15.333333333333334
52,8.851851851851851
53,15.333333333333334
54,4.7272727272727275
55,19.428571428571427
56,7.0
57,8.071428571428571
58,9.133333333333333
59,16.1
60,25.5
61,22.75
62,16.8
63,9.23076923076923
64,11.7
65,14.0
66,28.833333333333332
67,7.458333333333333
68,28.5
69,11.2
70,19.923076923076923
71,14.391304347826088
72,16.5
73,23.285714285714285
74,16.0
75,8.73913043478261
76,21.11111111111111
77,14.666666666666666
78,14.833333333333334
79,19.857142857142858
80,9.333333333333334
81,21.0
82,11.263157894736842
83,20.0
84,21.625
85,16.428571428571427
86,19.41176470588235
87,10.222222222222221
88,18.285714285714285
89,9.2
90,3.4507042253521125
91,10.066666666666666
92,24.0
93,12.714285714285714
94,16.333333333333332
95,21.125
96,12.625
97,20.4
98,21.0
99,17.944444444444443
100,26.8
101,14.55
102,25.833333333333332
103,12.352941176470589
104,17.2
105,21.571428571428573
106,9.333333333333334
107,16.133333333333333
108,19.857142857142858
109,20.166666666666668
110,15.75
111,17.714285714285715
112,7.923076923076923
113,16.2
114,6.75
115,16.333333333333332
116,12.5
117,19.454545454545453
118,13.296296296296296
119,18.333333333333332
120,21.333333333333332
121,20.5
122,8.689655172413794
123,20.4
124,15.875
125,11.76923076923077
126,24.1
127,13.058823529411764
128,16.363636363636363
129,9.545454545454545
130,24.0
131,19.333333333333332
132,3.4166666666666665
133,6.65
134,22.166666666666668
135,13.25
136,15.75
137,22.166666666666668
138,11.125
139,12.5
140,4.802631578947368
141,7.75
142,7.155555555555556
143,8.0
144,7.285714285714286
145,7.0
146,9.075
147,17.0
148,9.857142857142858
149,16.933333333333334
150,10.483870967741936
151,6.636363636363637
152,5.569230769230769
153,11.052631578947368
154,9.542857142857143
155,15.318181818181818
156,9.333333333333334
157,5.0
158,17.4
159,24.0
160,14.5
161,16.65
162,5.5
163,9.090909090909092
164,17.3
165,22.285714285714285
166,22.833333333333332
167,17.4
168,8.681818181818182
169,19.833333333333332
170,30.0
171,10.333333333333334
172,12.166666666666666
173,6.045454545454546
174,11.185185185185185
175,5.260869565217392
176,23.0
177,6.571428571428571
178,13.8
179,19.0
180,25.166666666666668
181,21.2
182,12.5
183,15.25
184,23.545454545454547
185,29.166666666666668
186,12.714285714285714
187,6.875
188,7.0
189,14.818181818181818
190,14.647058823529411
191,4.75
192,29.8
193,18.4
194,16.0
195,5.482758620689655
196,22.0
197,3.6
198,14.8
199,15.666666666666666
200,22.0
201,9.857142857142858
202,19.307692307692307
203,20.0
204,6.293103448275862
205,14.333333333333334
206,12.392857142857142
207,24.666666666666668
208,9.666666666666666
209,12.68421052631579
210,3.3333333333333335
211,7.25
212,14.833333333333334
213,17.0
214,11.666666666666666
215,26.2
216,14.705882352941176
217,18.727272727272727
218,14.333333333333334
219,10.272727272727273
220,18.1875
221,11.608695652173912
222,5.214285714285714
223,7.428571428571429
224,17.666666666666668
225,15.454545454545455
226,14.19047619047619
227,8.741935483870968
228,8.0
229,13.764705882352942
230,21.3
231,15.666666666666666
232,7.833333333333333
233,8.4
234,8.69047619047619
235,11.380952380952381
236,5.933333333333334
237,8.625
238,14.833333333333334
239,19.4
240,23.0
241,11.928571428571429
242,12.375
243,12.25925925925926
244,15.142857142857142
245,28.0
246,13.6
247,21.8
248,6.172413793103448
249,7.111111111111111
250,18.454545454545453
251,15.5
252,26.0
253,12.0
254,4.454545454545454
255,19.25
256,18.11111111111111
257,4.5
258,8.708333333333334
259,13.0
260,10.588235294117647
261,3.75
262,7.288888888888889
263,8.666666666666666
264,11.482758620689655
265,17.571428571428573
266,13.4
267,23.666666666666668
268,22.11111111111111
269,30.0
270,12.227272727272727
271,19.0
272,15.11111111111111
273,14.421052631578947
274,18.714285714285715
275,11.071428571428571
276,15.11111111111111
277,12.666666666666666
278,2.838235294117647
279,19.0
280,8.609756097560975
281,9.733333333333333
282,18.0
283,20.6
284,18.5
285,21.75
286,12.666666666666666
287,5.928571428571429
288,26.666666666666668
289,7.020408163265306
290,7.137254901960785
291,12.75
292,20.375
293,20.625
294,12.8
295,5.391304347826087
296,6.333333333333333
297,23.727272727272727
298,18.333333333333332
299,19.0
300,6.157894736842105
301,13.444444444444445
302,12.7
303,14.375
304,8.071428571428571
305,30.0
306,14.208333333333334
307,10.617647058823529
308,11.666666666666666
309,1.0
310,3.3333333333333335
311,8.8
312,19.25
313,1.7272727272727273
314,25.8
315,14.75
316,11.095238095238095
317,14.75
318,15.571428571428571
319,3.875
320,15.0
321,11.030303030303031
322,17.928571428571427
323,2.4507042253521125
324,18.363636363636363
325,17.285714285714285
326,14.4
327,5.507936507936508
328,15.583333333333334
329,18.375
330,25.142857142857142
331,25.375
332,8.916666666666666
333,19.5
334,5.666666666666667
335,17.0
336,4.363636363636363
337,21.333333333333332
338,26.2
339,13.666666666666666
340,10.0
341,17.454545454545453
342,17.4375
343,25.0
344,16.0
345,26.333333333333332
346,24.333333333333332
347,9.666666666666666
348,10.857142857142858
349,14.285714285714286
350,8.0
351,13.285714285714286
352,22.8
